MediaCanalR,MediaCanalG,MediaCanalB,MedianaR,MedianaG,MedianaB,ModaR,ModaG,ModaB,DesviacionEstandarR,DesviacionEstandarG,DesviacionEstandarB,MedioEscalaDeGrises,DesviacionEstandarEscalaDeGris,MedianaEscalaDeGris,ModaEscalaDeGris,MediaH,MediaS,MediaV,DesviacionEstandarH,DesviacionEstandarS,DesviacionEstandarV,MedianaH,MedianaS,MedianaV,ModaH,ModaS,ModaV,EntropiaEscalaDeGrises,EntropiaR,EntropiaG,EntropiaB,Class
103.93,120,127.3,94,112,119,97,113,112,45.64,47.21,43.72,119.87,43.99,111,111,189.36,20.92,51.13,40.84,15.21,17.28,196.8,20,47.45,180,25,45.49,7.12,7.05,7.21,7.2,H
106.82,128,167.62,108,124,169,103,125,169,17.05,21.4,32.93,137,14.53,135,135,221.97,37.32,67.96,18.58,10.15,9.8,225.25,36.36,66.67,226.67,36.21,66.27,5.51,4.89,5.37,6.29,H
4.87,103.1,207.25,2,86,234,0,37,255,6.73,52.67,59.46,123.34,42.61,121,112,212.08,96.15,82.77,15.3,7.27,21.33,218.5,99.2,92.55,220,100,100,7.27,3.59,7.34,6.33,I
40.51,57.56,62.37,40,56,62,23,35,72,14.21,20.81,17.31,56.43,15.86,56,49,195.84,36.5,25.08,12.14,11.05,8.3,196.15,34.62,24.71,198,33.33,28.24,6,5.83,6.04,6.09,N
25.5,52.05,43.8,24,47,42,24,38,36,14.78,30.7,22.55,44.63,19.99,43,33,164.1,51.06,20.6,18.66,18.15,12.14,169.57,48.28,18.43,171.43,50,14.9,6.32,5.82,6.44,6.47,N
32.87,91.14,70.91,25,78,58,0,161,135,28.13,52.26,46.3,76.37,45.18,65,39,159.16,66.94,35.75,10.67,16.96,20.49,160.41,64.94,30.59,160,100,63.14,7.32,6.39,7.5,7.3,N
163.48,163.52,153.65,59,53,44,202,193,182,49.09,42.25,45.96,159.48,42.51,50,192,26.97,8.88,66.47,29.65,14.3,17.1,22.5,5.71,74.12,22.5,0,79.22,6.93,6.96,6.93,7.03,H
111.68,131.02,135.78,112,0,14,110,125,144,24.49,28.03,33.71,128.99,22.99,2,128,206.58,19.67,56.06,21.31,14.79,11.85,210,17.86,56.47,210,96.67,56.47,6.37,6.2,6.37,6.68,H
8.23,36.72,28.67,6,29,25,0,21,19,8.45,33.63,18.84,28.32,17.73,25,19,167.86,75.96,14.47,26.08,22.36,13.18,170.53,78.57,11.37,170,100,8.24,6.03,4.37,6.32,6.1,N
69.82,76.73,109.63,69,69,96,66,57,78,18.68,30.22,49.04,84.88,23.29,79,58,250.46,35.14,45.14,52.43,24.46,19.31,246.67,26.32,38.82,272.73,16.67,26.67,6.38,6.14,6.33,7.17,I
30.65,66.73,73.6,18,46,56,8,14,25,29.5,52.61,50.38,62.83,46.87,43,13,196.45,63.46,30.39,16.23,15.01,20.75,196.15,61.9,23.53,210,100,11.37,7.05,6.28,7.17,7.26,N
155.15,178.83,191.4,26,48,65,148,167,187,28.59,20.52,27.62,179.67,18.15,50,173,205.71,20.72,76.74,13.82,11.17,6.51,208,19.9,76.08,210,25,73.33,6.13,6.51,6.26,5.99,H
